abash abashes abashed
abate abates abated
abide abides abode
absorb absorbs absorbed
accept accepts accepted
accompany accompanies accompanied
ache aches ached
achieve achieves achieved
acquire acquires acquired
act acts acted
add adds added
address addresses addressed
adjust adjusts adjusted
admire admires admired
admit admits admitted
advise advises advised
afford affords afforded
agree agrees agreed
allow allows allowed
animate animates animated
announce announces announced
answer answers answered
apologize apologizes apologized
appear appears appeared
applaud applauds applauded
apply applies applied
approach approaches approached
approve approves approved
argue argues argued
arise arises arose
arrange arranges arranged
arrest arrests arrested
ask asks asked
assert asserts asserted
assort assorts assorted
astonish astonishes astonished
attack attacks attacked
attend attends attended
attract attracts attracted
audit audits audited
avoid avoids avoided
awake awakes awoke
bang bangs banged
banish banishes banished
bash bashes bashed
bat bats batted
be am is are was were
bear bears bore
bear bears bore
beat beats beat
beautify beautifies beautified
become becomes became
befall befalls befell
beg begs begged
begin begins began
behave behaves behaved
behold beholds beheld
believe believes believed
belong belongs belonged
bend bends bent
bereave bereaves bereft
beseech beseeches besought
bet bets bet
betray betrays betrayed
bid bids bid
bind binds bound
bite bites bit
bleed bleeds bled
bless blesses blessed
blossom blossoms blossomed
blow blows blew
blur blurs blurred
blush blushes blushed
board boards boarded
boast boasts boasted
boil boils boiled
bow bows bowed
box boxes boxed
bray brays brayed
break breaks broke
breathe breathes breathed
breed breeds bred
bring brings brought
broadcast broadcasts broadcast
brush brushes brushed
build builds built
burn burns burnt
burst bursts burst
bury buries buried
bust busts bust
buy buys bought
buzz buzzes buzzed
calculate calculates calculated
call calls called
capture captures captured
caress caresses caressed
carry carries carried
carve carves carved
cash cashes cashed
cast casts cast
catch catches caught
cause causes caused
cease ceases ceased
celebrate celebrates celebrated
challenge challenges challenged
change changes changed
charge charges charged
chase chases chased
chat chats chatted
check checks checked
cheer cheers cheered
chew chews chewed
chide chides chid
chip chips chipped
choke chokes choked
choose chooses chose
classify classifies classified
clean cleans cleaned
cleave cleaves clove/cleft
click clicks clicked
climb climbs climbed
cling clings clung
close closes closed
clothe clothes clad
clutch clutches clutched
collapse collapses collapsed
collect collects collected
color colors colored
come comes came
comment comments commented
compare compares compared
compel compels compelled
compete competes competed
complain complains complained
complete completes completed
conclude concludes concluded
condense condenses condensed
conduct conducts conducted
confess confesses confessed
confine confines confined
confiscate confiscates confiscated
confuse confuses confused
congratulate congratulates congratulated
connect connects connected
connote connotes connoted
conquer conquers conquered
consecrate consecrates consecrated
consent consents consented
conserve conserves conserved
consider considers considered
consign consigns consigned
consist consists consisted
console consoles consoled
consort consorts consorted
conspire conspires conspired
constitute constitutes constituted
constrain constrains constrained
construct constructs constructed
construe construes construed
consult consults consulted
contain contains contained
contemn contemns contemned
contend contends contended
contest contests contested
continue continues continued
contract contracts contracted
contradict contradicts contradicted
contrast contrasts contrasted
contribute contributes contributed
contrive contrives contrived
control controls controlled
convene convenes convened
converge converges converged
converse converses conversed
convert converts converted
convey conveys conveyed
convict convicts convicted
convince convinces convinced
coo coos cooed
cook cooks cooked
cool cools cooled
co-operate co-operates co-operated
cope copes coped
copy copies copied
correct corrects corrected
correspond corresponds corresponded
corrode corrodes corroded
corrupt corrupts corrupted
cost costs cost
cough coughs coughed
counsel counsels counselled
count counts counted
course courses coursed
cover covers covered
cower cowers cowered
crack cracks cracked
crackle crackles crackled
cram crams crammed
crash crashes crashed
crave craves craved
create creates created
creep creeps crept
crib cribs cribbed
cross crosses crossed
crowd crowds crowded
crunch crunches crunched
crush crushes crushed
cry cries cried
curb curbs curbed
cure cures cured
curve curves curved
cut cuts cut
cycle cycles cycled
damage damages damaged
damp damps damped
dance dances danced
dare dares dared
dash dashes dashed
dazzle dazzles dazzled
deal deals dealt
decay decays decayed
decide decides decided
declare declares declared
decode decodes decoded
decorate decorates decorated
decrease decreases decreased
dedicate dedicates dedicated
delay delays delayed
delete deletes deleted
deny denies denied
depend depends depended
deprive deprives deprived
derive derives derived
describe describes described
desire desires desired
destroy destroys destroyed
detach detaches detached
detect detects detected
determine determines determined
develop develops developed
die dies died
differ differs differed
dig digs dug
digest digests digested
dim dims dimmed
diminish diminishes diminished
dine dines dined
dip dips dipped
direct directs directed
disappear disappears disappeared
discover discovers discovered
discuss discusses discussed
disobey disobeys disobeyed
display displays displayed
dispose disposes disposed
distribute distributes distributed
disturb disturbs disturbed
dive dives dived
divide divides divided
do does did
donate donates donated
download downloads downloaded
drag drags dragged
draw draws drew
dream dreams dreamt
dress dresses dressed
drill drills drilled
drink drinks drank
drive drives drove
drop drops dropped
dry dries dried
dump dumps dumped
dwell dwells dwelt
dye dyes dyed
earn earns earned
eat eats ate
educate educates educated
empower empowers empowered
empty empties emptied
encircle encircles encircled
encode encodes encoded
encourage encourages encouraged
encroach encroaches encroached
endanger endangers endangered
endorse endorses endorsed
endure endures endured
engrave engraves engraved
enjoy enjoys enjoyed
enlarge enlarges enlarged
enlighten enlightens enlightened
enter enters entered
envy envies envied
erase erases erased
escape escapes escaped
evaporate evaporates evaporated
exchange exchanges exchanged
exclaim exclaims exclaimed
exclude excludes excluded
exist exists existed
expand expands expanded
expect expects expected
explain explains explained
explore explores explored
express expresses expressed
extend extends extended
eye eyes eyed
face faces faced
fail fails failed
faint faints fainted
fall falls fell
fan fans fanned
fancy fancies fancied
favor favors favored
fax faxes faxed
feed feeds fed
feel feels felt
ferry ferries ferried
fetch fetches fetched
fight fights fought
fill fills filled
find finds found
finish finishes finished
fish fishes fished
fit fits fit/fitted
fix fixes fixed
fizz fizzes fizzed
flap flaps flapped
flash flashes flashed
flavor flavors flavored
flee flees fled
fling flings flung
flirt flirts flirted
float floats floated
flop flops flopped
fly flies flew
fold folds folded
follow follows followed
forbid forbids forbade
force forces forced
forecast forecasts forecast
foretell foretells foretold
forget forgets forgot
forgive forgives forgave
form forms formed
forsake forsakes forsook
found founds founded
frame frames framed
free frees freed
freeze freezes froze
frighten frightens frightened
fry fries fried
fulfil fulfils fulfilled
gag gags gagged
gain gains gained
gash gashes gashed
gaze gazes gazed
get gets got
give gives gave
glance glances glanced
glitter glitters glittered
glow glows glowed
go goes went
google googles googled
govern governs governed
grab grabs grabbed
grade grades graded
grant grants granted
greet greets greeted
grind grinds ground
grip grips gripped
grow grows grew
guard guards guarded
guess guesses guessed
guide guides guided
handle handles handled
hang hangs hung
happen happens happened
harm harms harmed
hatch hatches hatched
hate hates hated
have has had
heal heals healed
hear hears heard
heat heats heated
heave heaves hove
help helps helped
hew hews hewed
hide hides hid
hinder hinders hindered
hiss hisses hissed
hit hits hit
hoax hoaxes hoaxed
hold holds held
